seed,cenario,algoritmo,num_processos,total_seeds,quantum,custo_troca,turnaround_medio,trocas_contexto,slowdown_medio,jain_slowdown_pct
19,prioridades_desbalanceadas,prioridade,1000,100,4,1,20061.31,3604,819.7503101737474,9.37764383991208
19,prioridades_desbalanceadas,round_robin,1000,100,4,1,29276.865,10705,606.7592751405145,80.99532395294504
2,cpu_bound,epa,1000,100,4,1,21487.061,1517,490.4588576662693,82.7277922424844
2,cpu_bound,fcfs,1000,100,4,1,20270.996,1517,486.1544069363433,79.32023301290867
2,cpu_bound,prioridade,1000,100,4,1,18508.05,1517,514.1094959168393,56.73198987688234
2,cpu_bound,round_robin,1000,100,4,1,34720.235,10957,850.8338566277995,94.51440208125327
2,equilibrado,epa,1000,100,4,1,22777.975,3598,490.92277926618647,38.38069696228349
2,equilibrado,fcfs,1000,100,4,1,23917.375,3598,508.44208167683297,51.83284240895194
2,equilibrado,prioridade,1000,100,4,1,19026.971,3598,721.5672704469731,10.114691891351807
2,equilibrado,round_robin,1000,100,4,1,29720.193,10844,587.1287854909251,84.44070765577658
2,io_bound,epa,1000,100,4,1,9967.836,6596,199.04647008492006,63.58740336534269
2,io_bound,fcfs,1000,100,4,1,16493.112,6598,310.5760780661471,92.95661484556977
2,io_bound,prioridade,1000,100,4,1,11224.622,6598,219.8854998348861,66.45646692441458
2,io_bound,round_robin,1000,100,4,1,16493.112,6598,310.5760780661471,92.95661484556977
2,prioridades_desbalanceadas,epa,1000,100,4,1,23053.398,3597,522.7740686648507,37.06789588545216
2,prioridades_desbalanceadas,fcfs,1000,100,4,1,24114.492,3598,530.704120593144,45.94224768990391
2,prioridades_desbalanceadas,prioridade,1000,100,4,1,20087.152,3598,734.6865826932045,10.411356130114923
2,prioridades_desbalanceadas,round_robin,1000,100,4,1,30097.809,10855,602.7551328040406,82.02687812346409
20,cpu_bound,epa,1000,100,4,1,20706.137,1487,481.26484294920766,81.48251571202442
20,cpu_bound,fcfs,1000,100,4,1,19837.977,1487,484.9981574468609,77.85353548078949
20,cpu_bound,prioridade,1000,100,4,1,18007.036,1487,501.6034155972707,58.351271880396475
20,cpu_bound,round_robin,1000,100,4,1,34051.873,10761,850.2441978216741,94.08034546874097
20,equilibrado,epa,1000,100,4,1,22067.943,3518,526.6911224165749,29.733795304445128
20,equilibrado,fcfs,1000,100,4,1,22980.452,3518,526.3698624552163,42.45280246091841
20,equilibrado,prioridade,1000,100,4,1,18845.596,3518,771.6192212130292,11.279337571252233
20,equilibrado,round_robin,1000,100,4,1,28698.532,10586,598.5962192111969,80.17957605946307
20,io_bound,epa,1000,100,4,1,9936.726,6513,202.6106243097249,62.966649734813394
20,io_bound,fcfs,1000,100,4,1,16271.638,6517,312.17365668007324,92.76822809652975
20,io_bound,prioridade,1000,100,4,1,11148.607,6517,222.83391324368853,64.86699155424978
20,io_bound,round_robin,1000,100,4,1,16271.638,6517,312.17365668007324,92.76822809652975
20,prioridades_desbalanceadas,epa,1000,100,4,1,22115.2,3518,502.67859553670115,44.44478293344192
20,prioridades_desbalanceadas,fcfs,1000,100,4,1,23073.342,3518,516.2908022204412,50.53392664236984
